"puolue","color",1945,1948,1951,1954,1958,1962,1966,1970,1972,1975,1979,1983,1987,1991,1995,"1999","2003","2007","2011"
"Muut","grey",2,1.2,1.1,0.6,2.8,5.9,3,2,1.2,4.3,1.8,2.5,3.1,3.5,6.9,5.2,2.8,2.3,1.9
"VIHR","#98df8a",,,,,,,,,,,,,4,6.8,"h6.5","h7.3",8,"h8.5","h7.3"
"LKP","goldenrod",,,,,,,6.5,"h6",5.2,"h4.3",3.7,,,,,,,,
"SKL/KD","darkviolet",,,,,,,0.5,1.1,2.5,3.3,4.8,3,2.6,"h3.1",3,4.2,5.3,4.9,"h4"
"RKP","#FEB24C","h7.9",7.3,"h7.3","h6.8","h6.5","h6.1",5.7,"h5.3",5.1,"h4.7","h4.3","h4.9","h5.6","h5.5","h5.1","h5.1","h4.6","h4.6","h4.3"
"SMP/PS","gold",,,,,,2.2,1,10.5,9.2,3.6,4.6,"h9.7","h6.3",4.8,1.3,1,1.6,4.1,19.1
"KOK","#3182BD",15,17.1,14.6,12.8,"h15.3","h15",13.8,18,17.6,18.4,21.7,22.1,"h23.1","h19.3","h17.9","h21",18.6,"h22.3","h20.4"
"ML/KESK","#31A354","h21.3",24.2,"h23.2","h24.1","h23.1","h23","h21.2","h17.1",16.4,"h17.6","h17.3","h17.6",17.6,"h24.8",19.8,22.4,"h24.7","h23.1",15.8
"SKDL/VAS","#d62728","h23.5",20,21.6,21.6,23.2,22,"h21.1","h16.6",17,"h18.9","h17.9",13.5,13.6,10.1,"h11.2","h10.9",9.9,8.8,"h8.1"
"SDP","#d6616b","h25.1","h26.3","h26.5","h26.2","h23.2",19.5,"h27.2","h23.4","h25.8","h24.9","h23.9","h26.7","h24.1",22.1,"h28.3","h22.9","h24.5",21.4,"h19.1"
"ED/SK","blue","h5.2",3.9,5.7,7.9,"h5.9","h6.3",,,,,,,,,,,,,
