vuosi,SDP,KOK,KESK,VAS,SMP,RKP,SKL,LKP,VIHR
1945,25.1,15.0,21.3,23.5,,7.9,,5.2,
1948,26.3,17.1,24.2,20.0,,7.3,,3.9,
1951,26.5,14.6,23.2,21.6,,7.3,,5.7,
1954,26.2,12.8,24.1,21.6,,6.8,,7.9,
1958,23.2,15.3,23.1,23.2,,6.5,,5.9,
1962,19.5,15.0,23.0,22.0,2.2,6.1,,6.3,
1966,27.2,13.8,21.2,21.1,1.0,5.7,0.5,6.5,
1970,23.4,18.0,17.1,16.6,10.5,5.3,1.1,6.0,
1972,25.8,17.6,16.4,17.0,9.2,5.1,2.5,5.2,
1975,24.9,18.4,17.6,18.9,3.6,4.7,3.3,4.3,
1979,23.9,21.7,17.3,17.9,4.6,4.3,4.8,3.7,
1983,26.7,22.1,17.6,13.5,9.7,4.9,3.0,,
1987,24.1,23.1,17.6,13.6,6.3,5.6,2.6,1.0,4.0
1991,22.1,19.3,24.8,10.1,4.8,5.5,3.1,0.8,6.8
1995,28.3,17.9,19.8,11.2,1.3,5.1,3.0,0.6,6.5
